TIME_V2,almostsorted,mergesort,1.0427241325378418,31.2744140625,31.26171875,31.484375,1000,0,1000000000,True

TIME_V3,almostsorted,radixsort,0.8363938331604004,33.35390625,33.40234375,33.421875,10000,0,1000000000,True

TIME_V4,almostsorted,radixsort,1.0755271911621094,40.809895833333336,41.4296875,41.640625,100000,0,1000000000,True

TIME_V5,almostsorted,radixsort,5.448201894760132,116.68359375,109.45703125,121.4921875,1000000,0,1000000000,True

TIME_W0,sortedlist,insertionsort,1.7536232471466064,31.147135416666668,31.140625,31.16015625,10,0,1000000000,True

TIME_W1,sortedlist,mergesort,0.7866055965423584,31.20078125,31.140625,31.31640625,100,0,1000000000,True

TIME_W2,sortedlist,quicksort,0.7451190948486328,31.5078125,31.6171875,31.8984375,1000,0,1000000000,True

TIME_W3,sortedlist,radixsort,1.0987589359283447,33.4390625,33.53125,33.54296875,10000,0,1000000000,True

TIME_W4,sortedlist,radixsort,0.9265537261962891,40.857700892857146,41.44140625,41.546875,100000,0,1000000000,True

TIME_W5,sortedlist,radixsort,5.233162879943848,117.32389322916667,111.96484375,122.546875,1000000,0,1000000000,True

TIME_X0,reversesorted,radixsort,1.7382116317749023,31.09296875,31.0859375,31.10546875,10,0,1000000000,True

TIME_X1,reversesorted,quicksort,1.2921500205993652,31.399939903846153,31.36328125,31.5390625,100,0,1000000000,True

TIME_X2,reversesorted,mergesort,0.7500391006469727,31.34609375,31.421875,31.66015625,1000,0,1000000000,True

TIME_X3,reversesorted,heapsort,1.2960431575775146,32.779641544117645,32.7578125,32.78515625,10000,0,1000000000,True

TIME_X4,reversesorted,radixsort,0.8950982093811035,40.75,40.3671875,42.21484375,100000,0,1000000000,True

TIME_X5,reversesorted,radixsort,5.256670236587524,117.44840494791667,109.7109375,120.87890625,1000000,0,1000000000,True

TIME_Y0,repetitive,insertionsort,1.7233641147613525,31.088541666666668,31.08203125,31.1015625,10,0,1000000000,True

TIME_Y1,repetitive,quicksort,1.3915736675262451,31.728001644736842,31.5859375,31.97265625,100,0,1000000000,True

TIME_Y2,repetitive,mergesort,0.7400386333465576,31.44140625,31.5625,31.66796875,1000,0,1000000000,True

TIME_Y3,repetitive,radixsort,1.3402471542358398,33.5015625,33.5,33.51953125,10000,0,1000000000,True

TIME_Y4,repetitive,radixsort,0.9150872230529785,40.94252232142857,41.62109375,41.63671875,100000,0,1000000000,True

TIME_Y5,repetitive,radixsort,6.03955078125,115.04709201388889,108.828125,118.3515625,1000000,0,1000000000,True

TIME_Z0,floatlist,quicksort,1.7281463146209717,31.233226102941178,31.16796875,31.3046875,10,0,1000000000,True

TIME_Z1,floatlist,mergesort,1.477069616317749,31.332899305555557,31.22265625,31.40625,100,0,1000000000,True

TIME_Z2,floatlist,quicksort,0.576287031173706,31.4046875,31.50390625,31.8359375,1000,0,1000000000,True

TIME_Z3,floatlist,heapsort,1.1779775619506836,33.595052083333336,33.58203125,33.609375,10000,0,1000000000,True

TIME_Z4,floatlist,heapsort,1.4099133014678955,42.562890625,42.5703125,42.5859375,100000,0,1000000000,True

TIME_Z5,floatlist,heapsort,11.616487264633179,139.62997494103774,139.6171875,139.6328125,1000000,0,1000000000,True

MEMORY_A0,basicgenerator,heapsort,1.9812061786651611,31.20529513888889,31.19921875,31.21875,10,0,100,True

MEMORY_A1,basicgenerator,radixsort,1.7805321216583252,30.99782986111111,30.98828125,31.0078125,100,0,1000,True

MEMORY_A2,basicgenerator,selectionsort,1.461836814880371,31.20703125,31.19921875,31.21875,1000,0,10000,True

MEMORY_A3,basicgenerator,bubblesort,5.852610111236572,32.39077524038461,32.390625,32.39453125,10000,0,100000,True

MEMORY_A4,basicgenerator,heapsort,1.4617156982421875,39.3984375,39.41015625,39.42578125,100000,0,1000000,True

MEMORY_A5,basicgenerator,heapsort,11.13312292098999,99.93458946078431,99.921875,99.9375,1000000,0,10000000,True

