Csv name,Generator,Algorithm,Time,Averge Memory,Max memory,Min memory,Numbers sorted,Min Val,Max Val,Issorted
A5,basicgenerator,heapsort,10.15660787,70.52420177,70.51171875,70.52734375,1000000,0,1000000,TRUE

A5,basicgenerator,radixsort,4.705222845,79.1380814,71.36328125,84.0546875,1000000,0,1000000,TRUE

A5,basicgenerator,quicksort,192.0207624,71.96462723,71.4375,72.4765625,1000000,0,1000000,TRUE

A5,basicgenerator,quicksortleft,195.9647801,72.86243159,72.26953125,73.484375,1000000,0,1000000,TRUE

A5,basicgenerator,quicksortmid,190.1909313,71.61160554,71.14453125,72.109375,1000000,0,1000000,TRUE

A5,basicgenerator,quicksortright,190.4340189,71.81379909,71.32421875,72.265625,1000000,0,1000000,TRUE

A6,basicgenerator,countingsort,4.62940979,559.7849657,418.3632813,570.9570313,10000000,0,10000000,TRUE

A6,basicgenerator,heapsort,134.3273337,418.462954,418.4375,418.5,10000000,0,10000000,TRUE

A6,basicgenerator,radixsort,54.45980978,476.9693438,419.6796875,505.7773438,10000000,0,10000000,TRUE

B0,almostsorted,bucketsort2,1.541995525,31.24023438,31.2109375,31.25390625,10,0,100,TRUE

B0,almostsorted,bubblesort,1.207065821,31.07373047,31.06640625,31.0859375,10,0,100,TRUE

B0,almostsorted,selectionsort,1.205655575,31.07924107,31.07421875,31.08984375,10,0,100,TRUE

B0,almostsorted,insertionsort,1.191571712,31.08872768,31.08203125,31.1015625,10,0,100,TRUE

B0,almostsorted,countingsort,1.192048311,31.07645089,31.0703125,31.08984375,10,0,100,TRUE

B0,almostsorted,mergesort,1.210581779,31.25101273,31.18359375,31.296875,10,0,100,TRUE

B0,almostsorted,heapsort,1.238379478,31.13867188,31.1328125,31.15234375,10,0,100,TRUE

B0,almostsorted,radixsort,1.180041552,31.07373047,31.06640625,31.0859375,10,0,100,TRUE

B0,almostsorted,quicksort,1.207009077,31.17859738,31.10546875,31.26171875,10,0,100,TRUE

B0,almostsorted,quicksortleft,1.270720959,31.26302083,31.17578125,31.3359375,10,0,100,TRUE

B0,almostsorted,quicksortmid,1.191076517,31.14148247,31.08203125,31.19140625,10,0,100,TRUE

B0,almostsorted,quicksortright,1.223105192,31.16731771,31.109375,31.21875,10,0,100,TRUE

B1,almostsorted,bucketsort2,0.705997705,31.26484375,31.26171875,31.29296875,100,0,1000,TRUE

B1,almostsorted,bubblesort,1.250509024,31.18391927,31.171875,31.19140625,100,0,1000,TRUE

B1,almostsorted,selectionsort,1.191179037,31.11914063,31.10546875,31.125,100,0,1000,TRUE

B1,almostsorted,insertionsort,1.178839445,31.10058594,31.09375,31.11328125,100,0,1000,TRUE

B1,almostsorted,countingsort,1.196020603,31.04817708,31.0390625,31.05859375,100,0,1000,TRUE

B1,almostsorted,mergesort,0.666061401,31.20546875,31.16015625,31.30859375,100,0,1000,TRUE

B1,almostsorted,heapsort,1.18580842,31.12727865,31.11328125,31.13671875,100,0,1000,TRUE

B1,almostsorted,radixsort,1.187974691,31.053125,31.04296875,31.0625,100,0,1000,TRUE

B1,almostsorted,quicksort,1.28472662,31.43206967,31.265625,31.56640625,100,0,1000,TRUE

B1,almostsorted,quicksortleft,0.67203927,32.43515625,32.13671875,33.59765625,100,0,1000,TRUE

B1,almostsorted,quicksortmid,1.267281055,31.41240027,31.28515625,31.46875,100,0,1000,TRUE

B1,almostsorted,quicksortright,1.26738596,31.31430612,31.1875,31.37109375,100,0,1000,TRUE

B2,almostsorted,bucketsort2,0.936586857,31.19290865,31.1640625,31.20703125,1000,0,10000,TRUE

B2,almostsorted,bubblesort,1.349324226,31.14054398,31.12109375,31.140625,1000,0,10000,TRUE

B2,almostsorted,selectionsort,0.657461405,31.26875,31.26171875,31.28125,1000,0,10000,TRUE

B2,almostsorted,insertionsort,1.206894159,31.16054688,31.15234375,31.16796875,1000,0,10000,TRUE

B2,almostsorted,countingsort,1.199214935,31.17605065,31.16015625,31.1796875,1000,0,10000,TRUE

B2,almostsorted,mergesort,0.596880913,31.22578125,31.28515625,31.51953125,1000,0,10000,TRUE

B2,almostsorted,heapsort,1.190833569,31.07264895,31.05078125,31.07421875,1000,0,10000,TRUE

B2,almostsorted,radixsort,1.188794136,31.04775391,31.03125,31.05078125,1000,0,10000,TRUE

B2,almostsorted,quicksort,0.988080502,31.6809082,31.4765625,31.91015625,1000,0,10000,TRUE

B2,almostsorted,quicksortleft,0.641829252,41.54557292,37.71484375,56.97265625,1000,0,10000,TRUE

B2,almostsorted,quicksortmid,0.9085958,31.54296875,31.40234375,31.625,1000,0,10000,TRUE

B2,almostsorted,quicksortright,0.903810501,31.47956731,31.33203125,31.55859375,1000,0,10000,TRUE

B3,almostsorted,bucketsort2,1.95087266,32.78428819,32.80859375,32.83984375,10000,0,100000,TRUE

B3,almostsorted,bubblesort,3.528753281,32.23205566,32.234375,32.23828125,10000,0,100000,TRUE

B3,almostsorted,selectionsort,3.238659143,32.07125539,32.07421875,32.078125,10000,0,100000,TRUE

B3,almostsorted,insertionsort,1.207302332,32.14181858,32.125,32.14453125,10000,0,100000,TRUE

B3,almostsorted,countingsort,1.240871191,32.97221194,32.953125,32.97265625,10000,0,100000,TRUE

B3,almostsorted,mergesort,3.124111652,32.54617746,32.32421875,32.6484375,10000,0,100000,TRUE

B3,almostsorted,heapsort,0.734535694,32.43694196,32.421875,32.44921875,10000,0,100000,TRUE

B3,almostsorted,radixsort,0.654322624,32.71679688,32.71875,32.73828125,10000,0,100000,TRUE

B3,almostsorted,quicksort,2.209798336,32.72792969,32.44921875,33.0234375,10000,0,100000,TRUE

B3,almostsorted,quicksortleft,5.99578166,177.4529803,47.78515625,380.3867188,10000,0,100000,TRUE

B3,almostsorted,quicksortmid,1.982508421,32.46636285,32.27734375,32.578125,10000,0,100000,TRUE

B3,almostsorted,quicksortright,1.97003603,32.39279514,32.1796875,32.48828125,10000,0,100000,TRUE

B4,almostsorted,bucketsort2,14.14036298,47.31001696,38.7265625,47.53125,100000,0,1000000,TRUE

B4,almostsorted,insertionsort,1.327739,35.83972622,35.82421875,35.83984375,100000,0,1000000,TRUE

B4,almostsorted,countingsort,0.813557625,41.18828125,35.83203125,43.484375,100000,0,1000000,TRUE

B4,almostsorted,mergesort,32.86484432,37.8600476,36.0546875,38.04296875,100000,0,1000000,TRUE

B4,almostsorted,heapsort,1.132886648,35.6015625,35.609375,35.625,100000,0,1000000,TRUE

B4,almostsorted,radixsort,0.722715855,37.56054688,36.34375,38.3671875,100000,0,1000000,TRUE

B4,almostsorted,quicksort,21.73116302,36.65042969,36.28515625,36.96484375,100000,0,1000000,TRUE

B4,almostsorted,quicksortmid,19.46258187,36.30494792,35.9765625,36.35546875,100000,0,1000000,TRUE

B4,almostsorted,quicksortright,19.7175343,36.19239354,35.86328125,36.25390625,100000,0,1000000,TRUE

B5,almostsorted,bucketsort2,145.3893263,182.353732,101.0117188,182.7265625,1000000,0,10000000,TRUE

B5,almostsorted,insertionsort,0.986803532,70.50319602,70.4921875,70.5078125,1000000,0,10000000,TRUE

B5,almostsorted,countingsort,1.085109472,121.5763889,70.734375,147.0351563,1000000,0,10000000,TRUE

B5,almostsorted,heapsort,9.688806295,70.92534235,70.9140625,70.9296875,1000000,0,10000000,TRUE

B5,almostsorted,radixsort,3.774363995,79.01941636,71.49609375,83.06640625,1000000,0,10000000,TRUE

B5,almostsorted,quicksort,189.4954522,71.85962731,71.38671875,72.3046875,1000000,0,10000000,TRUE

B5,almostsorted,quicksortmid,147.9621563,71.18580652,70.6328125,71.3359375,1000000,0,10000000,TRUE

B5,almostsorted,quicksortright,147.9306397,71.23015671,70.80078125,71.3046875,1000000,0,10000000,TRUE

B6,almostsorted,insertionsort,2.210504532,761.6235609,761.3164063,761.6445313,10000000,0,100000000,TRUE

B6,almostsorted,countingsort,7.836933613,1140.005525,418.1484375,1181.09375,10000000,0,100000000,TRUE

B6,almostsorted,heapsort,110.6857963,418.8112916,418.7734375,418.8476563,10000000,0,100000000,TRUE

B6,almostsorted,radixsort,43.99343419,477.2046953,419.3203125,497.3203125,10000000,0,100000000,TRUE

C0,sortedlist,bucketsort2,1.283043146,31.20135789,31.171875,31.21484375,10,0,100,TRUE

C0,sortedlist,bubblesort,1.206725836,31.21679688,31.2109375,31.23046875,10,0,100,TRUE

C0,sortedlist,selectionsort,1.274353266,31.29991319,31.2890625,31.30859375,10,0,100,TRUE

C0,sortedlist,insertionsort,1.171457291,31.15576172,31.1484375,31.16796875,10,0,100,TRUE

